,asin,positive about carrier,negative about carrier,positive about phone unlocking,negative about phone unlocking,positive about design,negative about design,positive about camera,negative about camera,positive about OS,negative about OS,positive about memory,negative about memory,positive about battery,negative about battery,positive about network,negative about network,positive about apps,negative about apps,positive about customer service,negative about customer service,positive about brand,negative about brand,positive about screen,negative about screen,positive about price,negative about price,positive about purchase experience,negative about purchase experience,overall postive feedback,overall negative feedback,rating,overall neutral,overall positive,overall negative
10,B00D99ZBR6,0.3,0.16,0.04,0.07,0.54,0.26,0.08,0.03,0.07,0.02,0.03,0.06,0.02,0.06,0.2,0.12,0.03,0.02,0.43,0.26,0.54,0.24,0.26,0.13,0.22,0.08,0.56,0.32,0.6,0.37,3.56,0.06,0.58,0.35
11,B00E6FGSHY,0.31,0.12,0.08,0.03,0.59,0.18,0.12,0.03,0.13,0.03,0.03,0.01,0.03,0.06,0.23,0.1,0.08,0.02,0.46,0.2,0.61,0.2,0.32,0.07,0.21,0.04,0.65,0.27,0.68,0.28,3.92,0.07,0.66,0.26
12,B00EP2BN00,0.35,0.17,0.05,0.06,0.54,0.22,0.03,0.0,0.07,0.01,0.0,0.02,0.04,0.06,0.26,0.15,0.03,0.0,0.45,0.24,0.54,0.22,0.23,0.09,0.25,0.06,0.59,0.29,0.61,0.3,3.71,0.13,0.59,0.28
13,B00F2SKPIM,0.26,0.05,0.06,0.02,0.67,0.08,0.13,0.03,0.14,0.01,0.03,0.01,0.1,0.04,0.19,0.04,0.09,0.02,0.43,0.1,0.67,0.1,0.43,0.04,0.21,0.03,0.72,0.14,0.78,0.16,4.38,0.1,0.76,0.14
14,B00HPP3QD6,0.41,0.06,0.04,0.05,0.69,0.13,0.06,0.04,0.16,0.01,0.03,0.06,0.08,0.03,0.33,0.06,0.06,0.0,0.51,0.11,0.68,0.09,0.34,0.05,0.44,0.04,0.75,0.15,0.78,0.15,4.3,0.1,0.76,0.14
15,B00KM10ITK,0.32,0.14,0.07,0.14,0.54,0.19,0.08,0.03,0.15,0.04,0.02,0.02,0.02,0.03,0.25,0.13,0.07,0.06,0.46,0.19,0.55,0.18,0.27,0.1,0.29,0.06,0.59,0.24,0.64,0.26,3.75,0.12,0.63,0.25
16,B00LAEA84S,0.26,0.22,0.08,0.07,0.4,0.34,0.08,0.04,0.12,0.02,0.01,0.02,0.03,0.11,0.19,0.16,0.03,0.02,0.33,0.4,0.41,0.37,0.19,0.16,0.12,0.09,0.42,0.45,0.45,0.43,3.13,0.17,0.43,0.4
17,B00MWI4KKE,0.29,0.1,0.05,0.08,0.63,0.16,0.14,0.06,0.18,0.02,0.02,0.05,0.06,0.07,0.22,0.09,0.07,0.0,0.45,0.18,0.61,0.16,0.32,0.1,0.24,0.05,0.66,0.24,0.71,0.25,3.97,0.11,0.68,0.21
18,B00O15MWOM,0.28,0.18,0.05,0.09,0.49,0.28,0.06,0.05,0.14,0.08,0.02,0.05,0.03,0.07,0.18,0.18,0.08,0.06,0.36,0.26,0.45,0.25,0.25,0.19,0.3,0.1,0.53,0.32,0.55,0.36,3.46,0.13,0.53,0.34
19,B00OEK6TWU,0.43,0.12,0.06,0.08,0.6,0.14,0.07,0.02,0.14,0.0,0.03,0.01,0.02,0.04,0.25,0.13,0.09,0.01,0.52,0.18,0.6,0.15,0.38,0.07,0.21,0.04,0.63,0.22,0.68,0.22,3.96,0.13,0.66,0.21
